"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"10001_1008_1","2_1047_20250316","1047_2104121_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2112031_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2103021_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1100831_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2110111_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2103341_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2102631_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2103321_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1102331_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1105831_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1110721_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1103341_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2103531_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1101641_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2110431_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2100121_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2111631_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1100121_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1103021_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2103821_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1102231_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2110931_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1110431_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1102821_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1102631_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1105811_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1113531_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2111321_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1111021_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1111431_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2104021_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2100231_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2113721_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1106_1","2_1046_20250316","1046_1103917_20250316","岡山駅",,,,"2_1106_1",,,"2"
"10001_2026_1","2_1046_20250316","1046_1100232_20250316","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_1046_20250316","1046_1101624_20250316","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_1046_20250316","1046_1113925_20250316","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_1046_20250316","1046_1110825_20250316","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_1046_20250316","1046_1112032_20250316","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_1047_20250316","1047_2110212_20250316","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_1046_20250316","1046_1110225_20250316","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_1046_20250316","1046_1101125_20250316","天満屋",,,,"2_2026_1",,,"2"
"10001_2026_1","2_1046_20250316","1046_1112335_20250316","天満屋",,,,"2_2026_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2100114_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2100224_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2112223_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2112124_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1100624_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1111113_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1110224_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1112913_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2101113_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1101615_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1101715_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2103115_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2100414_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1113513_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2101124_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2110624_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1112934_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1113924_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1111416_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2100813_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2113616_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2112036_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1111734_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2111424_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1102923_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2111713_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2110613_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2111734_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2112213_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1101013_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1113224_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2111814_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1113116_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1102213_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2112324_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2111624_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1112334_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2111613_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2111012_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1110824_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2111124_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1112636_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2112013_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1112213_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1110534_20250316","大学病院",,,,"2_2027_1",,,"2"
